time,abs_peak_current_ka,latitude,longitude
1717229417,4.0,60.6319,25.1255
1717229418,2.0,60.5451,25.271
1717229418,3.0,63.7122,24.6141
1717229418,6.0,63.6786,24.7943
1717229420,2.0,61.0686,22.3988
1717229421,7.0,61.0779,26.738
1717229421,3.0,61.1617,26.2179
1717229423,6.0,63.5054,23.7317
1717229425,4.0,62.8031,23.8116
1717229426,11.0,61.3628,27.8393
1717229426,6.0,61.1036,27.6261
1717229427,5.0,61.0896,27.608
1717229427,6.0,61.0874,27.6182
1717229427,6.0,61.0905,27.6117
1717229427,3.0,61.0915,27.6353
1717229427,11.0,63.4849,23.8238
1717229427,17.0,63.4866,23.8311
1717229427,8.0,63.4851,23.825
1717229428,10.0,63.4573,23.9727
1717229428,3.0,63.6468,24.8712
1717229428,4.0,63.4564,23.9662
1717229429,6.0,61.6902,28.8965
1717229429,6.0,61.6139,28.992
1717229429,3.0,61.5817,29.2183
1717229429,7.0,61.618,28.9808
1717229429,4.0,61.4521,29.3032
1717229429,5.0,61.6127,28.9571
1717229429,9.0,61.5901,28.9842
1717229430,3.0,67.614,24.2015
1717229430,4.0,67.5998,24.1881
1717229431,13.0,64.9026,29.3008
1717229431,3.0,60.7862,25.7895
1717229431,3.0,63.4264,23.8787
1717229432,4.0,60.6346,22.3218
1717229432,6.0,60.6104,21.9057
1717229432,17.0,60.6395,21.9406
1717229432,10.0,60.6228,21.9282
1717229432,6.0,61.6514,22.1795
1717229432,15.0,61.6685,22.1571
1717229432,18.0,61.6542,22.19
1717229432,3.0,61.6886,21.9888
1717229432,2.0,61.0951,26.7025
1717229436,16.0,63.0642,24.3146
1717229436,19.0,60.9156,28.0011
1717229437,3.0,61.0453,26.4126
1717229437,4.0,61.0433,26.441
1717229438,7.0,61.0714,26.7579
1717229438,6.0,61.0577,26.7167
1717229438,3.0,61.1278,26.8786
1717229438,2.0,61.0865,26.7438
1717229438,3.0,61.1387,26.976
1717229438,7.0,64.9303,27.9139
1717229440,3.0,60.96,26.3197
1717229440,7.0,60.9396,26.2976
1717229440,3.0,60.8915,26.2435
1717229440,4.0,60.9282,26.2965
1717229440,3.0,60.7622,26.3667
1717229442,5.0,61.1507,26.8341
1717229444,4.0,63.5086,23.8122
1717229446,6.0,61.9558,21.5077
1717229446,9.0,61.9624,21.6102
1717229449,16.0,61.0135,26.7854
1717229449,14.0,61.0143,26.7839
1717229449,6.0,60.9983,26.8305
1717229451,5.0,63.339,24.5411
1717229451,3.0,63.3258,24.5003
1717229452,6.0,67.8328,24.8099
1717229452,3.0,67.7249,24.9898
1717229452,7.0,61.2131,26.4986
1717229453,2.0,61.3644,26.415
1717229453,3.0,61.1293,26.8736
1717229454,3.0,63.3881,23.726
1717229457,7.0,63.429,23.9761
1717229458,4.0,63.6614,24.1782
1717229459,12.0,60.9991,26.8382
1717229459,4.0,61.0338,22.1783
1717229460,6.0,64.9258,29.3769
1717229462,3.0,61.1103,26.7321
1717229462,4.0,61.1082,26.7292
1717229467,2.0,60.7955,25.8611
1717229469,5.0,60.9564,26.7994
1717229470,16.0,61.069,26.7582
1717229470,7.0,61.1053,26.5845
1717229470,9.0,61.0118,26.7069
1717229470,10.0,61.0416,26.716
1717229470,7.0,61.0408,26.7141
1717229471,6.0,61.0445,26.7093
1717229471,9.0,61.0413,26.7139
1717229471,15.0,61.1356,26.8859
1717229471,7.0,62.4518,30.8175
1717229472,3.0,61.1096,26.8188
1717229473,21.0,60.3531,23.9431
1717229473,7.0,60.3483,23.9436
1717229473,10.0,60.37,23.9507
1717229473,7.0,60.3534,23.9432
1717229473,5.0,60.3528,23.9499
1717229473,2.0,60.3668,24.1067
1717229473,3.0,63.1322,24.3163
1717229473,3.0,63.0951,24.1829
1717229475,3.0,60.8927,25.6497
1717229475,2.0,60.8377,26.0059
1717229477,17.0,63.5211,23.9318
1717229477,3.0,63.5465,23.9589
